FID,SRC_AGENCY,FIRE_ID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,OUT_DATE,SIZE_HA,CAUSE,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
187640,AB,MWF036,59.122133,-111.158783,2015,6,6,2015-06-06 00:00:00,2015-06-06 00:00:00,0.01,L,5,5a,Taiga Shield West,Taiga du Bouclier
187641,AB,MWF052,59.6531,-110.343233,2015,6,24,2015-06-24 00:00:00,2015-11-12 00:00:00,24458.0,L,5,5a,Taiga Shield West,Taiga du Bouclier
187642,AB,MWF054,59.081333,-110.849717,2015,6,24,2015-06-24 00:00:00,2015-06-24 00:00:00,0.01,L,5,5a,Taiga Shield West,Taiga du Bouclier
187643,AB,MWF055,59.3535,-110.506667,2015,6,24,2015-06-24 00:00:00,2015-06-24 00:00:00,0.1,L,5,5a,Taiga Shield West,Taiga du Bouclier
187644,AB,MWF058,59.044483,-110.816367,2015,6,24,2015-06-24 00:00:00,2015-06-24 00:00:00,0.01,L,5,5a,Taiga Shield West,Taiga du Bouclier
187645,AB,MWF059,59.043217,-110.740333,2015,6,24,2015-06-24 00:00:00,2015-06-25 00:00:00,0.01,L,5,5a,Taiga Shield West,Taiga du Bouclier
187646,AB,MWF060,59.380567,-110.643783,2015,6,24,2015-06-24 00:00:00,2015-06-24 00:00:00,0.01,L,5,5a,Taiga Shield West,Taiga du Bouclier
187647,AB,MWF061,59.322833,-110.481217,2015,6,24,2015-06-24 00:00:00,2015-07-04 00:00:00,0.01,L,5,5a,Taiga Shield West,Taiga du Bouclier
187648,AB,MWF063,59.034567,-110.777183,2015,6,24,2015-06-24 00:00:00,2015-06-24 00:00:00,0.1,L,5,5a,Taiga Shield West,Taiga du Bouclier
187649,AB,MWF070,59.0236,-110.78535,2015,6,24,2015-06-24 00:00:00,2015-06-24 00:00:00,0.01,L,5,5a,Taiga Shield West,Taiga du Bouclier
187650,AB,MWF084,59.130667,-110.711433,2015,6,25,2015-06-25 00:00:00,2015-07-04 00:00:00,2.4,L,5,5a,Taiga Shield West,Taiga du Bouclier
187651,AB,MWF091,59.051,-110.78875,2015,6,25,2015-06-25 00:00:00,2015-08-08 00:00:00,1127.8,L,5,5a,Taiga Shield West,Taiga du Bouclier
187652,AB,MWF100,59.07155,-110.612083,2015,6,26,2015-06-26 00:00:00,2015-06-27 00:00:00,0.9,L,5,5a,Taiga Shield West,Taiga du Bouclier
187653,AB,MWF106,59.251483,-111.30285,2015,6,27,2015-06-27 00:00:00,2015-11-12 00:00:00,956.4,L,5,5a,Taiga Shield West,Taiga du Bouclier
187654,AB,MWF112,59.791853,-111.186955,2015,6,28,2015-06-28 00:00:00,2015-07-17 00:00:00,53.0,L,5,5a,Taiga Shield West,Taiga du Bouclier
187655,AB,MWF122,59.648586,-111.394622,2015,7,2,2015-07-02 00:00:00,2015-08-05 00:00:00,52.9,L,5,5a,Taiga Shield West,Taiga du Bouclier
187656,AB,MWF127,59.57178,-110.74538,2015,7,8,2015-07-08 00:00:00,2015-07-19 00:00:00,23.9,L,5,5a,Taiga Shield West,Taiga du Bouclier
187657,AB,MWF134,58.947717,-111.073033,2015,7,16,2015-07-16 00:00:00,2015-07-17 00:00:00,0.4,L,5,5a,Taiga Shield West,Taiga du Bouclier
187689,AB,HWF165,59.9043,-116.6362,2015,6,13,2015-06-13 00:00:00,2015-06-14 00:00:00,1.3,L,4,4,Taiga Plain,Taiga des plaines
187690,AB,HWF172,59.537,-117.266667,2015,6,23,2015-06-23 00:00:00,2015-06-23 00:00:00,0.28,L,4,4,Taiga Plain,Taiga des plaines
187691,AB,HWF176,59.784333,-116.856167,2015,6,23,2015-06-23 00:00:00,2015-07-01 00:00:00,10.6,L,4,4,Taiga Plain,Taiga des plaines
187692,AB,HWF178,59.789933,-116.867283,2015,6,23,2015-06-23 00:00:00,2015-06-23 00:00:00,0.2,L,4,4,Taiga Plain,Taiga des plaines
187693,AB,HWF223,59.753067,-117.1767,2015,6,26,2015-06-26 00:00:00,2015-07-09 00:00:00,626.38,L,4,4,Taiga Plain,Taiga des plaines
187694,AB,HWF234,59.8466,-116.768133,2015,6,26,2015-06-26 00:00:00,2015-07-01 00:00:00,278.1,L,4,4,Taiga Plain,Taiga des plaines
187695,AB,HWF235,59.83875,-116.753633,2015,6,26,2015-06-26 00:00:00,2015-07-27 00:00:00,8.3,L,4,4,Taiga Plain,Taiga des plaines
187696,AB,HWF236,59.80295,-116.637483,2015,6,26,2015-06-26 00:00:00,2015-07-01 00:00:00,1.7,L,4,4,Taiga Plain,Taiga des plaines
