Year,Année,ISO,Juridiction,Revenues,Revenus,Value (dollars),Data qualifier,Valeur (en dollar),Qualificatifs de données,Jurisdiction
2003,2003,NL,Terre-Neuve-et-Labrador,Area/holding charges,Droits de location ou de jouissance,0,a,0,a,Newfoundland and Labrador
2003,2003,NL,Terre-Neuve-et-Labrador,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",3000,a,3000,a,Newfoundland and Labrador
2003,2003,NL,Terre-Neuve-et-Labrador,Protection fees,Coût de protection du territoire,0,a,0,a,Newfoundland and Labrador
2003,2003,NL,Terre-Neuve-et-Labrador,Permit and licence fees (export fees),Permis et frais de tenure (frais d'exportation),539000,a,539000,a,Newfoundland and Labrador
2003,2003,NL,Terre-Neuve-et-Labrador,Sales and rentals,Ventes et locations,0,a,0,a,Newfoundland and Labrador
2003,2003,NL,Terre-Neuve-et-Labrador,Reforestation levies,Droits de reboisement,0,a,0,a,Newfoundland and Labrador
2004,2004,NL,Terre-Neuve-et-Labrador,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a,Newfoundland and Labrador
2004,2004,NL,Terre-Neuve-et-Labrador,Stumpage charges,Droits de coupe,1800000,e,1800000,e,Newfoundland and Labrador
2004,2004,NL,Terre-Neuve-et-Labrador,Rent charges,Frais de location,0,a,0,a,Newfoundland and Labrador
2004,2004,NL,Terre-Neuve-et-Labrador,Area/holding charges,Droits de location ou de jouissance,0,a,0,a,Newfoundland and Labrador
2004,2004,NL,Terre-Neuve-et-Labrador,Reforestation levies,Droits de reboisement,0,a,0,a,Newfoundland and Labrador
2004,2004,NL,Terre-Neuve-et-Labrador,Protection fees,Coût de protection du territoire,0,a,0,a,Newfoundland and Labrador
2004,2004,NL,Terre-Neuve-et-Labrador,Sales and rentals,Ventes et locations,0,a,0,a,Newfoundland and Labrador
2004,2004,NL,Terre-Neuve-et-Labrador,Permit and licence fees (export fees),Permis et frais de tenure (frais d'exportation),550000,e,550000,e,Newfoundland and Labrador
2005,2005,NL,Terre-Neuve-et-Labrador,Stumpage charges,Droits de coupe,1625000,a,1625000,a,Newfoundland and Labrador
2005,2005,NL,Terre-Neuve-et-Labrador,Area/holding charges,Droits de location ou de jouissance,0,a,0,a,Newfoundland and Labrador
2005,2005,NL,Terre-Neuve-et-Labrador,Reforestation levies,Droits de reboisement,0,a,0,a,Newfoundland and Labrador
2005,2005,NL,Terre-Neuve-et-Labrador,Protection fees,Coût de protection du territoire,0,a,0,a,Newfoundland and Labrador
2005,2005,NL,Terre-Neuve-et-Labrador,Permit and licence fees (export fees),Permis et frais de tenure (frais d'exportation),545000,a,545000,a,Newfoundland and Labrador
2005,2005,NL,Terre-Neuve-et-Labrador,Sales and rentals,Ventes et locations,0,a,0,a,Newfoundland and Labrador
2005,2005,NL,Terre-Neuve-et-Labrador,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a,Newfoundland and Labrador
2005,2005,NL,Terre-Neuve-et-Labrador,Rent charges,Frais de location,0,a,0,a,Newfoundland and Labrador
2006,2006,NL,Terre-Neuve-et-Labrador,Stumpage charges,Droits de coupe,1791000,a,1791000,a,Newfoundland and Labrador
2006,2006,NL,Terre-Neuve-et-Labrador,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a,Newfoundland and Labrador
2006,2006,NL,Terre-Neuve-et-Labrador,Sales and rentals,Ventes et locations,0,a,0,a,Newfoundland and Labrador
2006,2006,NL,Terre-Neuve-et-Labrador,Permit and licence fees (export fees),Permis et frais de tenure (frais d'exportation),483000,a,483000,a,Newfoundland and Labrador
2006,2006,NL,Terre-Neuve-et-Labrador,Protection fees,Coût de protection du territoire,0,a,0,a,Newfoundland and Labrador
2006,2006,NL,Terre-Neuve-et-Labrador,Rent charges,Frais de location,0,a,0,a,Newfoundland and Labrador
2006,2006,NL,Terre-Neuve-et-Labrador,Area/holding charges,Droits de location ou de jouissance,0,a,0,a,Newfoundland and Labrador
2006,2006,NL,Terre-Neuve-et-Labrador,Reforestation levies,Droits de reboisement,0,a,0,a,Newfoundland and Labrador
2007,2007,NL,Terre-Neuve-et-Labrador,Stumpage charges,Droits de coupe,1900000,e,1900000,e,Newfoundland and Labrador
2007,2007,NL,Terre-Neuve-et-Labrador,Rent charges,Frais de location,,u,,u,Newfoundland and Labrador
2007,2007,NL,Terre-Neuve-et-Labrador,Area/holding charges,Droits de location ou de jouissance,,u,,u,Newfoundland and Labrador
2007,2007,NL,Terre-Neuve-et-Labrador,Reforestation levies,Droits de reboisement,,u,,u,Newfoundland and Labrador
2007,2007,NL,Terre-Neuve-et-Labrador,Protection fees,Coût de protection du territoire,,u,,u,Newfoundland and Labrador
2007,2007,NL,Terre-Neuve-et-Labrador,Permit and licence fees (export fees),Permis et frais de tenure (frais d'exportation),500000,e,500000,e,Newfoundland and Labrador
2007,2007,NL,Terre-Neuve-et-Labrador,Sales and rentals,Ventes et locations,,u,,u,Newfoundland and Labrador
2007,2007,NL,Terre-Neuve-et-Labrador,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,u,,u,Newfoundland and Labrador
2008,2008,NL,Terre-Neuve-et-Labrador,Stumpage charges,Droits de coupe,1900000,e,1900000,e,Newfoundland and Labrador
2008,2008,NL,Terre-Neuve-et-Labrador,Rent charges,Frais de location,,u,,u,Newfoundland and Labrador
2008,2008,NL,Terre-Neuve-et-Labrador,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,u,,u,Newfoundland and Labrador
2008,2008,NL,Terre-Neuve-et-Labrador,Sales and rentals,Ventes et locations,,u,,u,Newfoundland and Labrador
2008,2008,NL,Terre-Neuve-et-Labrador,Permit and licence fees (export fees),Permis et frais de tenure (frais d'exportation),500000,e,500000,e,Newfoundland and Labrador
2008,2008,NL,Terre-Neuve-et-Labrador,Protection fees,Coût de protection du territoire,,u,,u,Newfoundland and Labrador
2008,2008,NL,Terre-Neuve-et-Labrador,Reforestation levies,Droits de reboisement,,u,,u,Newfoundland and Labrador
2008,2008,NL,Terre-Neuve-et-Labrador,Area/holding charges,Droits de location ou de jouissance,,u,,u,Newfoundland and Labrador
2009,2009,NL,Terre-Neuve-et-Labrador,Stumpage charges,Droits de coupe,1900000,e,1900000,e,Newfoundland and Labrador
